ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
11,simple,,Corona Extra 12pk,1,0,visible,,"<div class=""product-view__infos-description"">With a refreshing, smooth taste balanced between heavier European imports and lighter domestic beer, Corona is an even-keeled cerveza with fruity-honey aromas and a touch of malt. The flavor is crisp, clean and well balanced between hops and malt, a superior taste profile from superior ingredients—the finest-quality blend of filtered water, malted barley, hops, corn and yeast.</div>",,,taxable,,1,,,0,0,,,,,0,,28.99,31.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/976544-Corona12x355mlBtl.jpg,,,,,,,,,0
12,simple,,Corona Extra 18pk,1,0,visible,"<div class=""short-description"">18 x 355ml Bottles</div>\n<div class=""product-description"">\n\nBrewed and bottled in Mexico by Grupo Modelo, Corona is the world's number 1 Mexican beer - a refreshing blend of the finest quality blend of barley, yeast, imported hops and water. Corona has a smooth, refreshing taste and well-rounded character with a pleasant malt and hop aroma. Corona is perfectly complemented when served with a wedge of lime.\n\n</div>",,,,taxable,,1,,,0,0,,,,,0,,39.99,45.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/4a621919054ad8e36f0abc1a97165ed4.jpg,,,,,,,,,0
13,simple,,Heineken 15x330ml,1,0,visible,Heineken is the world's number one premium and most global beer brand.,,,,taxable,,1,,,0,0,,,,,0,,,34.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/Heineken-Lager-330ml-bottles-15pk.jpg,,,,,,,,,0
14,simple,,Asahi 12x330ml,1,0,visible,"With its refreshing barley flavour and crisp aftertaste, Asahi Super Dry is by far the most popular high-quality beer in Japan. Since its debut in 1987 as Japan's first dry beer, it has continued to improve the taste and excitement of beer. Its taste has set a new standard that is acknowledged around the world today.",,,,taxable,,1,,,0,0,,,,,0,,,26.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/d8afe65c1ba4a3b48a2c12fcfb2dc734_f326.jpg,,,,,,,,,0
15,simple,,Becks 12x330ml,1,0,visible,"Sold in over 120 countries world-wide, Beck’s is to this day brewed according to Reinheitsgebot – the German Purity Law - and states that only 4 natural ingredients can be used in its brewing; barley, hops, yeast and water. Best served extremely cold, Beck’s is full of character and instantly recognisable by its pure, crisp and fresh taste, with a slightly bitter aroma.",,,,taxable,,1,,,0,0,,,,,0,,,25.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/ea5b7a5985326af3cd33f4b74fbee8e5_f1339.jpg,,,,,,,,,0
16,simple,,Peroni 12x330ml,1,0,visible,"Peroni Nastro Assuro is Italy's number one premium beer. It is brewed using the finest hops, two row spring planted barley and contains 25% Italian maize, including the proprietary variety Nostrano Dell'Isola. Effortlessly stylish this Mediterranean style lager delivers an unmistakable crisp, refreshing taste and a fine subtle aroma.",,,,taxable,,1,,,0,0,,,,,0,,,25.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/17e2c1a09acdf7b38a2ff0e14523ac73_f319.jpg,,,,,,,,,0
17,simple,,Ice Lager 15x330ml,1,0,visible,"A clean, fresh and distinctive ice beer, Lion Ice is ice-brewed, a centuries-old German brewing method known as ‘Eisbock’. This special brewing process involves chilling the beer in ice chambers, causing crystals to form.",,,,taxable,,1,,,0,0,,,,,0,,,24.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/d7bf9e139134785a6b233229730154be_f981.png,,,,,,,,,0
18,simple,,Export Gold 15x330ml,1,0,invisible,"A golden lager characterised by a pleasant, slightly fruity flavour with a clean, crisp finish. Made using only the finest New Zealand hops, barley and pure spring water, it is perhaps New Zealand’s freshest and most refreshing beer. Export gold is best served ice cold to enhance its drinkability and refreshing flavours.",,,,taxable,,1,,,0,0,,,,,0,,,26.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/b37633fe1f28dbfe574294417a65e375_f339.jpg,,,,,,,,,0
19,simple,,Lion Red 24x330ml,1,0,visible,"Lion Red is one New Zealand's oldest beers and is full bodied, malt flavoured beer that is balanced with a pleasant hop bitterness that appeals to all beer drinkers.",,,,taxable,,1,,,0,0,,,,,0,,,37.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/ddada8b70f43b918c026e8107ce0d1ac_f374.jpg,,,,,,,,,0
20,simple,,Speight's 24x330ml,1,0,visible,"Speight’s is the beer of choice after a hard day’s work. Probably the least sweet of all New Zealand beers, this characteristic allows the full flavour of the malt and hops to shine through. Speight’s Gold Medal Ale is a great accompaniment to any meat dish and is superb with Southern game dishes such as venison, duck and rabbit.",,,,taxable,,1,,,0,0,,,,,0,,,37.99,Beer,,,http://localhost/liquorhutotahuhu/wp-content/uploads/2020/12/f9f7c2b573768f78cc0682abb6ce6944_f361.jpg,,,,,,,,,0
